name,cf_Group,vcpus,memory,disk,cluster,tenant,cf_Public IP,cf_Private IP,cf_Type,cf_Owner,cf_Active Status
fintech-payconnect-test-slave1,fintech,2,4096,50,A1-R05-U25,AGC SysOps ,,192.168.18.8,test,Juan Jamon,Running
fintech-payconnect-test-slave2,fintech,2,4096,50,A1-R05-U25,AGC SysOps ,,192.168.18.9,test,Juan Jamon,Running
fintech-payconnect-test-uat.reports,fintech,2,2048,35,A1-R05-U25,AGC SysOps ,,192.168.18.78,test,Juan Jamon/JD/Christian,Running
fintech-payconnect-test-uat.stip.switch,fintech,2,2048,35,A1-R05-U25,AGC SysOps ,,192.168.18.76,test,Juan Jamon/JD/Christian,Running
fintech-payconnect-dev-payment.gateway.backend,fintech,2,4096,50,A1-R05-U25,AGC SysOps ,202.60.10.211,,dev,Juan Jamon,Running
fintech-payconnect-production-payment.gateway.frontend,fintech,2,4096,50,A1-R05-U25,AGC SysOps ,202.60.10.202,,production,Juan Jamon,Running
infra-oss-production-rt.psc,infra,4,4096,100,A1-R05-U25,AGC SysOps ,,192.168.18.95,production,Malone/Mae,Running
Infra-Kafka-test-zookeeper2,infra,2,4096,50,A1-R05-U25,AGC SysOps ,,192.168.18.243,test,jessie@apolloglobal.net,Running
fintech-payconnect-production-kafka3,fintech,4,8192,100,A1-R05-U24,AGC SysOps ,,192.168.18.237,production,Carlex,Running
infra-oss-production-dataconnect.openproject,infra,2,8192,64,A1-R05-U20,AGC SysOps ,202.60.10.91,,production,Ingrid,Running
infra-network-production-psc.vpn,infra,4,2048,50,A1-R05-U20,AGC SysOps ,202.60.9.253,,production,Luigi,Running
infra-network-production-strongswan.c,infra,2,2048,34,A1-R05-U20,AGC SysOps ,202.60.9.214,,production,Menard,Running
infra-network-production-strongswan.a,infra,2,2048,35,A1-R05-U20,AGC SysOps ,202.60.9.98,,production,Menard,Running
etrade-grails.jpos-test-prepaid,etrade,2,2048,32,A1-R05-U20,AGC SysOps ,,192.168.17.175,test,Danrey Igno,Running
fintech-payconnect-production-cdec.wallet.loadbal1,fintech,4,8192,50,A1-R05-U20,AGC SysOps ,202.60.10.208,,production,Russel Cuy,Running
devops-k8s-production-rancher3,devops,4,8192,64,A1-R05-U20,AGC SysOps ,202.60.10.166,,production,Carlex,Running
fintech-payconnect-production-debezium1,fintech,4,8192,100,A1-R05-U20,AGC SysOps ,,192.168.18.234,production,Carlex,Running
fintech-payconnect-production-kafka2,fintech,4,8192,100,A1-R05-U20,AGC SysOps ,,192.168.18.161,production,Carlex,Running
l2x-network-test-awx,l2x,4,4096,10,A1-R05-U20,AGC SysOps ,202.60.10.150,,test,menard@apolloglobal.net,Running
infra-network-production-acs.test,infra,4,4096,30,A1-R04-U33,AGC SysOps ,202.60.10.89,192.168.18.55,production,Orly/Nemrod,Running
supplychain-erp-test-odoo12.trifoods,supplychain,4,8192,60,A1-R04-U33,AGC SysOps ,,192.168.18.49,test,Carlex/Sarah,Running
supplychain-erp-test-kafka.scripts,supplychain,2,2048,35,A1-R04-U33,AGC SysOps ,,192.168.17.206,test,Sarah Osay,Running
supplychain-odoo-production-db.master,supplychain,4,8192,200,A1-R04-U33,AGC SysOps ,,192.168.17.192,production,Gelie,Running
devops-k8s-test-rancher2,devops,4,8192,64,A1-R04-U33,AGC SysOps ,202.60.10.180,,test,Carlex,Running
fintech-payconnect-test-paymentgateway.fe1,fintech,4,8192,64,A1-R04-U33,AGC SysOps ,202.60.10.172,,test,Carlex,Running
data.analytics-datalake-production-kafka,data.analytics,8,16384,128,A1-R04-U33,AGC SysOps ,202.60.10.185,,production,Juan Jamon,Running
devops-devops-test-gitlab.runner,devops,4,8192,128,A1-R04-U33,AGC SysOps ,,192.168.18.173,test,Carlex,Running
infra-oss-production-tracker2,infra,4,4096,64,A1-R04-U33,AGC SysOps ,,192.168.17.204,production,Malone/Mae,Running
infra-oss-production-tracker1,infra,4,4096,64,A1-R04-U33,AGC SysOps ,,192.168.17.179,production,Malone/Mae,Running
devops-k8s-test-saltmaster,devops,2,4096,64,A1-R04-U33,AGC SysOps ,,192.168.18.51,test,Carlex,Running
supplychain-erp-production-odoo12.balancer,supplychain,2,4096,60,A1-R05-U32,AGC SysOps ,202.60.10.66,,production,Carlex/Sarah,Running
supplychain-erp-production-odoo12.corona,supplychain,4,8192,60,A1-R05-U32,AGC SysOps ,,192.168.18.47,production,Carlex/Sarah,Running
supplychain-erp-production-odoo12.ati,supplychain,4,8192,60,A1-R05-U32,AGC SysOps ,,192.168.18.45,production,Carlex/Sarah,Running
infra-internal-test-openproject,infra,4,4096,40,A1-R05-U32,AGC SysOps ,,192.168.70.17,test,ingrid,Running
fintech-payconnect-test-recondasboard.frontend,fintech,2,4096,50,A1-R05-U32,AGC SysOps ,202.60.10.200,,test,Russel Cuy,Running
fintech-payconnect-test-recondasboard.backend,fintech,2,4096,50,A1-R05-U32,AGC SysOps ,202.60.10.205,,test,Pamela Demafeliz,Running
fintech-payconnect-production-backend.dashboard,fintech,4,4096,40,A1-R05-U32,AGC SysOps ,,192.168.18.162,production,Russel Cuy,Running
fintech-payconnect-production-matcher.dashboard,fintech,4,4096,40,A1-R05-U32,AGC SysOps ,,192.168.18.235,production,Russel Cuy,Running
fintech-payconnect-production-cbs.consumer.dashboard,fintech,4,4096,40,A1-R05-U32,AGC SysOps ,,192.168.18.240,production,Russel Cuy,Running
fintech-payconnect-production-7connect.consumer.dashboard,fintech,4,4096,40,A1-R05-U32,AGC SysOps ,,192.168.18.236,production,Russel Cuy,Running
fintech-payconnect-production-mojaloop1,fintech,8,16384,100,A1-R05-U32,AGC SysOps ,202.60.10.222,,production,Juan Jamon,Running
fintech-payconnect-production-haproxy1,fintech,4,8192,64,A1-R05-U32,AGC SysOps ,202.60.9.227,,production,Carlex,Running
etrade-grails-test-gofast,etrade,2,2048,32,A1-R04-U18,AGC SysOps ,,192.168.17.203,test,Danrey Igno,Running
etrade-grails-test-peza,etrade,2,2048,32,A1-R04-U18,AGC SysOps ,202.60.10.115,,test,Danrey Igno,Running
etrade-grails-test-etrade,etrade,2,2048,32,A1-R04-U18,AGC SysOps ,202.60.10.162,,test,Danrey Igno,Running
fintech-cas-production-cas,fintech,4,8192,128,A1-R04-U18,AGC SysOps ,202.60.10.221,,production,Robert,Running
fintech-e.kyc-test-yoti.posgresql,fintech,4,4096,100,A1-R04-U18,AGC SysOps ,,192.168.18.175,test,Pamela Demafeliz,Running
infra-network-production-vpn.via.ipc,infra,2,2048,50,A1-R04-U18,AGC SysOps ,,192.168.70.171,production,Luigi,Running
fintech-shopconnect-dev-frontend.test1,fintech,4,2048,32,A1-R05-U29,AGC SysOps ,,192.168.18.88,dev,Carlex,Running
infra-network-production-freeradius.agc,infra,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.183,,production,Mitzi,Running
infra-network-production-strongswan.b,infra,2,2048,32,A1-R05-U29,AGC SysOps ,202.60.9.99,,production,Menard,Running
infra-network-production-sma2.bill.generator,infra,2,2048,50,A1-R05-U29,A1-R04-U18,202.60.10.70,,production,Luigi,Running
fintech-payconnect-test-recondasboard.consumer,fintech,4,4096,40,A1-R05-U29,AGC SysOps ,,192.168.18.112,test,Russel,Running
fintech-payconnect-test-uat.web,fintech,4,4096,34,A1-R05-U29,AGC SysOps ,202.60.10.156,,test,Juan Jamon,Running
supplychain-cliqqshop-dev-ecms,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.93,,dev,Ian / Miguel / Jared / Jessie /,Running
supplychain-cliqqshop-dev-pimcore,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.76,,dev,Ian / Miguel / Jared / Jessie /,Running
supplychain-cliqqshop-dev-kong,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.94,,dev,Ian / Miguel / Jared / Jessie /,Running
supplychain-cliqqshop-dev-elastic,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.81,,dev,Ian / Miguel / Jared / Jessie /,Running
supplychain-cliqqshop-dev-vsf.api,supplychain,2,2048,30,A1-R05-U29,A1-R04-U18,202.60.10.69,,dev,Ian / Miguel / Jared / Jessie /,Running
supplychain-cliqqshop-dev-redis,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.83,,dev,Ian / Miguel / Jared / Jessie /,Running
supplychain-cliqqshop-dev-kafka,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.74,,dev,Ian / Miguel / Jared / Jessie /,Running
supplychain-cliqqshop-dev-microservices,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.82,,dev,Ian / Miguel / Jared / Jessie /,Running
fintech-payconnect-production-uat.web.stip,fintech,2,2048,34,A1-R05-U29,AGC SysOps ,,192.168.18.77,production,Juan Jamon/Christian/JD,Running
fintech-payconnect-test-uat.switch,fintech,2,4096,34,A1-R05-U29,AGC SysOps ,202.60.10.146,,test,Juan Jamon,Running
supplychain-cliqqshop-dev-new.vsf.pwa,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.79,,dev,Ian / Miguel / Jared / Jessie /,Running
supplychain-cliqqshop-dev-db.server,supplychain,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.92,,dev,Ian / Miguel / Jared / Jessie /,Running
fmfi-fmfi-test-db.server,fmfi,2,2048,30,A1-R05-U29,AGC SysOps ,202.60.10.73,,test,Carlex,Running
infra-internal-production-dcim,infra,4,8192,62,A1-R05-U29,AGC SysOps ,202.60.10.134,,production,Luigi,Running
data.analytics-datalake-production-farm.iot1,data.analytics,2,2048,32,A1-R05-U29,AGC SysOps ,202.60.10.132,,production,Michael,Running
fintech-payconnect-production-merchant.aggregator.env,fintech,2,2048,35,A1-R05-U29,AGC SysOps ,202.60.10.148,,production,Juan Jamon,Running
fintech-payconnect-dev-payplus.7pay,fintech,4,4096,62,A1-R05-U29,AGC SysOps ,202.60.10.158,,dev,Carlex/Juan Jamon,Running
fintech-loyalty-production-loyalty.test,fintech,4,8192,64,A1-R05-U29,AGC SysOps ,202.60.10.141,,production,Juan Jamon,Running
infra-internal-test-biometrics,infra,4,4096,80,A1-R05-U31,AGC SysOps ,,172.29.224.3,test,SYSOPS,Running
infra-oss-test-atis3.beta,infra,2,2048,50,A1-R05-U31,AGC SysOps ,202.60.10.124,,test,Dom Cimafranca/Mae,Running
infra-oss-production-atis.test,infra,4,4096,62,A1-R05-U31,AGC SysOps ,202.60.10.210,,production,Mae,Running
fintech-payconnect-production-frontend.dashboard,fintech,4,4096,40,A1-R05-U31,AGC SysOps ,202.60.10.194,,production,Russel Cuy,Running
supplychain-cliqqshop-dev-merchant.portal,supplychain,2,2048,30,A1-R05-U31,AGC SysOps ,202.60.10.68,,dev,Ian,Running
devops-k8s-production-ci.apollo,devops,4,8192,100,A1-R05-U31,AGC SysOps ,202.60.10.72,,production,Carlex,Running
fmfi-fmfi-production-fmfi.test.server,fmfi,4,8192,64,A1-R05-U31,AGC SysOps ,202.60.10.130,,production,Carlex,Running
data.analytics-metabase-production-cdec,data.analytics,4,4096,75,A1-R05-U31,AGC SysOps ,202.60.10.149,,production,Danrey,Running
infra-oss-test-tracker.pwa,infra,2,2048,50,A1-R05-U31,AGC SysOps ,202.60.10.133,,test,Dom Cimafranca/Mae,Running
infra-oss-test-tracker.backend.2,infra,2,2048,65,A1-R05-U31,AGC SysOps ,202.60.10.90,,test,Dom Cimafranca/Mae,Running
infra-oss-production-rt.dash,infra,4,4096,55,A1-R05-U31,AGC SysOps ,202.60.10.118,,production,Dom Cimafranca/Mae,Running
fintech-cliqq-test-new.radius.api,fintech,2,2048,32,A1-R05-U31,AGC SysOps ,202.60.10.155,,test,Juan Jamon/Chris,Running
supplychain-mariodboro-production-mariodboro.webserver1,supplychain,4,8192,32,A1-R05-U31,AGC SysOps ,202.60.10.199,,production,Carlex,Running
fintech-payconnect-production-zookeeper2,fintech,1,2048,55,A1-R05-U31,AGC SysOps ,,,production,Carlex,Running
fintech-payconnect-production-yoti.frontend,fintech,4,4096,55,A1-R05-U31,AGC SysOps ,202.60.10.101,,production,Russel Cuy,Running
fintech-payconnect-production-yoti.backend,fintech,4,4096,32,A1-R05-U31,AGC SysOps ,,192.168.18.239,production,Russel Cuy,Running
